tabla,columna_no_usada
contactos,nombre
contactos,telefono
contactos,etiquetas
contactos,ia
contactos,creado_en
contactos,ia_activada
contactos,mensaje_count
contactos,primer_mensaje
contactos,ultimo_mensaje
contactos,nota
contactos,nombre_nora
historial_conversaciones,telefono
historial_conversaciones,mensaje
historial_conversaciones,emisor
historial_conversaciones,timestamp
historial_conversaciones,hora
historial_conversaciones,nombre_nora
historial_conversaciones,ia_activada
respuestas_bot,palabra_clave
respuestas_bot,respuesta
respuestas_bot,creado_en
respuestas_bot,nombre_nora
configuracion_bot,clave
configuracion_bot,valor
configuracion_bot,descripcion
configuracion_bot,ultima_actualizacion
configuracion_bot,modulos
configuracion_bot,nombre_nora
configuracion_bot,bienvenida
etiquetas,nombre
etiquetas,color
etiquetas,activa
etiquetas,etiqueta
etiquetas,nombre_nora
